|   id |      x |      y |  size |
|  461 | -16.25 |  -3.75 | 0.024 |
|  462 | -16.25 |  -3.25 | 0.024 |
|  463 | -16.25 |  -2.75 | 0.024 |
|  464 | -16.25 |  -2.25 | 0.024 |
|  465 | -16.25 |  -1.75 | 0.024 |
|  466 | -16.25 |  -1.25 | 0.024 |
|  467 | -16.25 |  -0.75 | 0.024 |
|  468 | -16.25 |  -0.25 | 0.024 |
|  469 | -16.25 |   0.25 | 0.024 |
|  470 | -16.25 |   0.75 | 0.024 |
|  471 | -16.25 |   1.25 | 0.024 |
|  472 | -16.25 |   1.75 | 0.024 |
|  473 | -16.25 |   2.25 | 0.024 |
|  474 | -16.25 |   2.75 | 0.024 |
|  475 | -16.25 |   3.25 | 0.024 |
|  476 | -16.25 |   3.75 | 0.024 |
|  477 | -16.25 |   4.25 | 0.024 |
|  478 | -16.25 |   4.75 | 0.024 |
|  479 | -16.25 |   5.25 | 0.024 |
|  480 | -16.25 |   5.75 | 0.024 |
|  481 | -16.25 |   6.25 | 0.024 |
|  482 | -16.25 |   6.75 | 0.024 |
|  483 | -16.25 |   7.25 | 0.024 |
|  484 | -16.25 |   7.75 | 0.024 |
|  485 | -16.25 |   8.25 | 0.024 |
|  486 | -16.25 |   8.75 | 0.024 |
|  487 | -16.25 |   9.25 | 0.024 |
|  488 | -16.25 |   9.75 | 0.024 |
|  489 | -16.25 |  10.25 | 0.024 |
|  490 | -16.25 |  10.75 | 0.024 |
|  491 | -16.25 |  11.25 | 0.024 |
|  492 | -16.25 |  11.75 | 0.024 |
|  493 | -16.25 |  12.25 | 0.024 |
|  494 | -16.25 |  12.75 | 0.024 |
|  495 | -16.25 |  13.25 | 0.024 |
|  496 | -16.25 |  13.75 | 0.024 |
|  497 | -16.25 |  14.25 | 0.024 |
|  498 | -16.25 |  14.75 | 0.024 |
|  499 | -15.75 | -15.25 | 0.024 |
|  500 | -15.75 | -14.75 | 0.024 |
|  501 | -15.75 | -14.25 | 0.024 |
|  502 | -15.75 | -13.75 | 0.024 |
|  503 | -15.75 | -13.25 | 0.024 |
|  504 | -15.75 | -12.75 | 0.024 |
|  505 | -15.75 | -12.25 | 0.024 |
|  506 | -15.75 | -11.75 | 0.024 |
|  507 | -15.75 | -11.25 | 0.024 |
|  508 | -15.75 | -10.75 | 0.024 |
|  509 | -15.75 | -10.25 | 0.024 |
|  510 | -15.75 |  -9.75 | 0.024 |
|  511 | -15.75 |  -9.25 | 0.024 |
|  512 | -15.75 |  -8.75 | 0.024 |
|  513 | -15.75 |  -8.25 | 0.024 |
|  514 | -15.75 |  -7.75 | 0.024 |
|  515 | -15.75 |  -7.25 | 0.024 |
|  516 | -15.75 |  -6.75 | 0.024 |
|  517 | -15.75 |  -6.25 | 0.024 |
|  518 | -15.75 |  -5.75 | 0.024 |
|  519 | -15.75 |  -5.25 | 0.024 |
|  520 | -15.75 |  -4.75 | 0.024 |
|  521 | -15.75 |  -4.25 | 0.024 |
|  522 | -15.75 |  -3.75 | 0.024 |
|  523 | -15.75 |  -3.25 | 0.024 |
|  524 | -15.75 |  -2.75 | 0.024 |
|  525 | -15.75 |  -2.25 | 0.024 |
|  526 | -15.75 |  -1.75 | 0.024 |
|  527 | -15.75 |  -1.25 | 0.024 |
|  528 | -15.75 |  -0.75 | 0.024 |
|  529 | -15.75 |  -0.25 | 0.024 |
|  530 | -15.75 |   0.25 | 0.024 |
|  531 | -15.75 |   0.75 | 0.024 |
|  532 | -15.75 |   1.25 | 0.024 |
|  533 | -15.75 |   1.75 | 0.024 |
|  534 | -15.75 |   2.25 | 0.024 |
|  535 | -15.75 |   2.75 | 0.024 |
|  536 | -15.75 |   3.25 | 0.024 |
|  537 | -15.75 |   3.75 | 0.024 |
|  538 | -15.75 |   4.25 | 0.024 |
|  539 | -15.75 |   4.75 | 0.024 |
|  540 | -15.75 |   5.25 | 0.024 |
|  541 | -15.75 |   5.75 | 0.024 |
|  542 | -15.75 |   6.25 | 0.024 |
|  543 | -15.75 |   6.75 | 0.024 |
|  544 | -15.75 |   7.25 | 0.024 |
|  545 | -15.75 |   7.75 | 0.024 |
|  546 | -15.75 |   8.25 | 0.024 |
|  547 | -15.75 |   8.75 | 0.024 |
|  548 | -15.75 |   9.25 | 0.024 |
|  549 | -15.75 |   9.75 | 0.024 |
|  550 | -15.75 |  10.25 | 0.024 |
|  551 | -15.75 |  10.75 | 0.024 |
|  552 | -15.75 |  11.25 | 0.024 |
|  553 | -15.75 |  11.75 | 0.024 |
|  554 | -15.75 |  12.25 | 0.024 |
|  555 | -15.75 |  12.75 | 0.024 |
|  556 | -15.75 |  13.25 | 0.024 |
|  557 | -15.75 |  13.75 | 0.024 |
|  558 | -15.75 |  14.25 | 0.024 |
|  559 | -15.75 |  14.75 | 0.024 |
|  560 | -15.75 |  15.25 | 0.024 |
|  561 | -15.25 | -15.75 | 0.024 |
|  562 | -15.25 | -15.25 | 0.024 |
|  563 | -15.25 | -14.75 | 0.024 |
|  564 | -15.25 | -14.25 | 0.024 |
|  565 | -15.25 | -13.75 | 0.024 |
|  566 | -15.25 | -13.25 | 0.024 |
|  567 | -15.25 | -12.75 | 0.024 |
|  568 | -15.25 | -12.25 | 0.024 |
|  569 | -15.25 | -11.75 | 0.024 |
|  570 | -15.25 | -11.25 | 0.024 |
